profile,pair_id,controller,n_samples,rmse_full,rmse_deadzone,rmse_transient,ss_error_last500ms,rms_pwm,max_abs_pwm,saturated_frac
P3,6,BASE,1000,18.411855514857812,21.701949013066365,17.616550880630967,0.09823529411764716,165.99174979498227,196.0,0.0
P3,6,CASC,1001,13.265150695601726,15.232214959935071,12.42637269184186,-0.1958823529411772,172.15232666572817,227.0,0.0
P3,7,BASE,1001,18.334150657166543,21.54727471546115,17.42790195442544,0.04941176470588255,165.71472665207105,196.0,0.0
P3,7,CASC,1000,12.897252598906482,14.582976259090897,11.978904930195135,-0.09862745098039218,171.72463131420605,224.0,0.0
P4,0,BASE,800,19.30364881958849,,4.791372698228904,0.19705882352941198,208.8019725721,232.0,0.0
P4,0,CASC,800,17.895094495419688,,4.326749934997399,0.2452941176470592,210.6794692180517,251.0,0.0
P4,1,BASE,801,19.333461664949255,,4.7106860788353675,-0.09745098039215684,208.89406187979398,230.0,0.0
P4,1,CASC,801,18.21814144000671,,4.64187684742569,0.5886274509803924,211.00010354353094,252.0,0.0
P4,2,BASE,801,19.163075869469033,,4.993354950999044,-0.0980392156862734,208.4650100723606,230.0,0.0
P4,2,CASC,800,18.549688174602828,,5.045764923841247,-0.19725490196078435,210.69101784366603,253.0,0.0
P4,3,BASE,801,19.302586269827156,,4.950796299586563,-0.6376470588235301,208.61466547605275,229.0,0.0
P4,3,CASC,800,18.507868833282778,,4.962055252950468,-0.1472549019607847,210.94657202713677,253.0,0.0
P4,4,BASE,800,19.49518269021863,,5.15337015941995,-0.5888235294117653,210.10213587681588,232.0,0.0
P4,4,CASC,800,18.469642704313475,,5.121231167079521,-0.48921568627450845,211.4781371678879,253.0,0.0
P4,5,BASE,800,19.296788385635573,,4.823729504577692,0.7362745098039224,209.14112759091648,233.0,0.0
P4,5,CASC,801,18.44188823908012,,4.660249921767429,0.7356862745098042,211.10107571916294,253.0,0.0
P4,6,BASE,800,19.284617911693246,,4.480213424975794,-0.1460784313725488,211.2286113432553,229.0,0.0
P4,6,CASC,800,18.300352892772317,,4.58135147454693,0.09803921568627506,213.31462092411763,253.0,0.0
P4,7,BASE,801,19.320944274037164,,4.502174844820371,0.24450980392156804,210.4807647021765,232.0,0.0
P4,7,CASC,800,17.86219834594835,,4.544683083927122,0.049411764705881996,212.03666546142438,251.0,0.0
