session,region,direction,cond,pwm,run,rmse_A,fit_A,rmse_tr_A,rmse_B,fit_B,rmse_tr_B,rmse_C,fit_C,rmse_tr_C
gap-fill,accel,rev,PWM=180,180,4,44.95870992873566,-356.9598342520492,20.173735544090558,6.9424100393327555,29.437420559623405,19.6737588257266,3.3202338255720125,66.25317983953768,2.497661152607576
gap-fill,accel,rev,PWM=180,180,5,45.452687184938426,-354.0001634753568,20.16684090773529,6.873183078129067,31.34781606266258,19.214020190845122,3.4953997744402825,65.0865071508145,2.8064116320395214
gap-fill,accel,rev,PWM=220,220,1,14.397475906863994,30.468462567345146,34.56481488665717,11.471664737273018,44.59844966892498,31.470833416782483,5.22568593950906,74.76293901342488,5.081305295967494
gap-fill,accel,rev,PWM=220,220,2,14.91076033264423,28.795935848838983,34.62790753986571,11.510799365684035,45.0319314253265,31.52523197793909,5.15835447869531,75.36706411870048,4.521746626527947
gap-fill,accel,rev,PWM=220,220,3,14.664517380945632,27.561034943085094,35.902559948727074,11.975453975293577,40.84432037400983,32.742623261111454,5.375454932984787,73.44662753365047,4.304958918242074
gap-fill,accel,rev,PWM=220,220,4,15.216293001709857,26.33331797212113,35.48502648600367,11.975107883984297,42.02487658197123,32.33008314081596,5.533436308021007,73.21095926723427,3.9278380675842364
gap-fill,accel,rev,PWM=220,220,5,15.086530974710731,26.237474253720993,35.8766033859667,11.951926248519035,41.563486721909115,32.701435367078105,5.528205309546271,72.97096415606293,5.582916415667473
P2.1,decel,fwd,240->0,0,1,9.305879951326924,73.38161398872259,22.317198035153524,6.801955872152459,80.54379725682875,16.240889790500606,4.7185140280621445,86.50324005300794,11.228465216516808
P2.1,decel,fwd,240->0,0,2,9.45622483094819,73.03688040173762,22.67820907782693,6.970125976877619,80.12564805836348,16.64643411442392,4.865127774316832,86.12775982119078,11.583170220290839
P2.1,decel,fwd,240->0,0,3,9.54895912967741,72.82790752964956,22.87798659415538,7.048169333577334,79.94404350486299,16.817801390117527,4.820378479844946,86.28334585815125,11.463524422443701
P2.1,decel,fwd,240->160,160,1,47.206262514553465,-100.11486761360845,38.489373176324904,6.323396197058018,73.19411608888669,10.534962236622361,3.787440787088072,83.9444350954739,4.299456175243178
P2.1,decel,fwd,240->160,160,2,48.63067902913517,-100.97596295912052,38.71526041140911,6.298402406166453,73.97059810896381,10.648629538209319,3.781335623870545,84.37287770907515,4.637251225754616
P2.1,decel,fwd,240->160,160,3,49.021854842002234,-102.75242815825693,38.79523428367948,6.209714521953062,74.3168694543801,10.28835088168101,3.894787088780098,83.89131659838802,4.545969873937806
P2.1,decel,rev,240->0,0,1,13.56553400765519,65.31477716933361,31.148449653297362,8.642690585774524,77.90181730738162,19.827896520925073,5.329947754739269,86.37204953047797,12.2205436443036
P2.1,decel,rev,240->0,0,2,13.664775066341159,65.18014766528299,31.345044204768048,8.655523268095713,77.94445641354434,19.837528438800994,5.492155213866099,86.00518247700886,12.581006917625018
